Employee ID | Full Name               | SSN           | Department       | Salary     | Email
------------|-------------------------|---------------|------------------|------------|-------------------------
H0001       | Destiny Burns            | 552-75-4232    | Reconnaissance    | $142,136  | destiny.burns@hackteam.org
H0002       | Tara Robinson            | 418-56-8851    | Exploitation      | $123,921  | tara.robinson@hackteam.org
H0003       | Bobby Terry              | 310-03-5968    | Reconnaissance    | $135,781  | bobby.terry@phishersparadise.io
H0004       | Anthony Martin           | 699-56-3922    | Social Engineering| $133,822  | anthony.martin@exploitops.net
H0005       | Daniel Jones             | 170-56-0705    | Defensive Strategies| $198,901  | daniel.jones@hackteam.org
H0006       | Jacob Miller             | 266-32-8075    | Reconnaissance    | $135,166  | jacob.miller@hackteam.org
H0007       | Alexander Parker         | 598-26-9464    | Social Engineering| $161,610  | alexander.parker@phishersparadise.io
H0008       | Brandon Williams         | 552-38-6556    | Social Engineering| $183,867  | brandon.williams@hackteam.org
H0009       | Andrea Bowen             | 268-61-2381    | Offensive Operations| $119,192  | andrea.bowen@exploitops.net
H0010       | Christina Castillo       | 104-03-5450    | Exploitation      | $168,195  | christina.castillo@exploitops.net
H0011       | Julie Scott              | 704-25-3978    | Defensive Strategies| $79,054   | julie.scott@hackteam.org
H0012       | Gregory Clay             | 023-31-5873    | Reconnaissance    | $100,257  | gregory.clay@hackteam.org
H0013       | Kayla Wilson             | 070-11-3735    | Offensive Operations| $153,489  | kayla.wilson@phishersparadise.io
H0014       | Thomas Wall              | 453-59-4823    | Offensive Operations| $94,969   | thomas.wall@cyberhire.com
H0015       | Daniel Cruz              | 236-27-5433    | Offensive Operations| $128,612  | daniel.cruz@phishersparadise.io
H0016       | Sierra Smith             | 494-85-2297    | Exploitation      | $192,199  | sierra.smith@cyberhire.com
H0017       | Claire Mcknight          | 683-68-2564    | Exploitation      | $105,273  | claire.mcknight@exploitops.net
H0018       | Mary Rodriguez           | 154-14-9745    | Reconnaissance    | $182,507  | mary.rodriguez@hackteam.org
H0019       | Johnny Ryan              | 352-34-2159    | Reconnaissance    | $149,984  | johnny.ryan@exploitops.net
H0020       | Christopher Watkins      | 261-89-1524    | Defensive Strategies| $179,006  | christopher.watkins@phishersparadise.io
H0021       | Jennifer Barnes          | 109-04-4899    | Defensive Strategies| $123,174  | jennifer.barnes@hackteam.org
H0022       | Tim Smith                | 197-78-0705    | Exploitation      | $177,382  | tim.smith@phishersparadise.io
H0023       | Michael Wright           | 732-19-8619    | Reconnaissance    | $87,925   | michael.wright@cyberhire.com
H0024       | Rachel Evans             | 640-20-6098    | Exploitation      | $157,492  | rachel.evans@cyberhire.com
H0025       | Janice Silva DDS         | 218-03-3487    | Exploitation      | $155,601  | janice.silva.dds@phishersparadise.io
H0026       | Brent Sanchez            | 762-46-5295    | Reconnaissance    | $185,016  | brent.sanchez@hackteam.org
H0027       | Michael Stanley          | 739-99-0722    | Exploitation      | $104,127  | michael.stanley@phishersparadise.io
H0028       | Andrew Smith             | 062-13-8087    | Defensive Strategies| $85,195   | andrew.smith@phishersparadise.io
H0029       | Kevin Robinson           | 162-92-9546    | Reconnaissance    | $88,100   | kevin.robinson@hackteam.org
H0030       | Ashley Davis             | 400-18-9371    | Social Engineering| $183,429  | ashley.davis@cyberhire.com
H0031       | Melissa Graham           | 281-24-3328    | Offensive Operations| $105,993  | melissa.graham@cyberhire.com
H0032       | Daniel Williams          | 172-90-9751    | Offensive Operations| $127,473  | daniel.williams@phishersparadise.io
H0033       | Kenneth Johnson          | 470-47-5210    | Exploitation      | $142,283  | kenneth.johnson@phishersparadise.io
H0034       | Tracey Vazquez           | 813-61-6642    | Offensive Operations| $148,109  | tracey.vazquez@exploitops.net
H0035       | Brian Barber             | 352-70-4087    | Offensive Operations| $109,636  | brian.barber@exploitops.net
H0036       | Lynn Freeman             | 237-12-8529    | Defensive Strategies| $133,119  | lynn.freeman@hackteam.org
H0037       | Carla Escobar            | 602-56-2357    | Offensive Operations| $106,252  | carla.escobar@phishersparadise.io
H0038       | Ashley Randall           | 027-65-2681    | Social Engineering| $171,828  | ashley.randall@exploitops.net
H0039       | Maria Hamilton           | 584-70-0645    | Social Engineering| $97,267   | maria.hamilton@hackteam.org
H0040       | Michael Smith            | 007-86-6188    | Exploitation      | $175,004  | michael.smith@hackteam.org
H0041       | Charles Melton           | 652-58-2570    | Defensive Strategies| $112,678  | charles.melton@cyberhire.com
H0042       | Patricia Anderson        | 504-64-8556    | Offensive Operations| $123,007  | patricia.anderson@hackteam.org
H0043       | Benjamin Warren          | 692-65-6051    | Defensive Strategies| $90,838   | benjamin.warren@hackteam.org
H0044       | Robert Morales           | 031-32-0180    | Reconnaissance    | $189,159  | robert.morales@hackteam.org
H0045       | James Macdonald          | 189-38-1649    | Exploitation      | $103,022  | james.macdonald@cyberhire.com
H0046       | Sara Robinson            | 459-34-6960    | Offensive Operations| $188,812  | sara.robinson@cyberhire.com
H0047       | Bruce Smith              | 833-34-8952    | Defensive Strategies| $171,345  | bruce.smith@hackteam.org
H0048       | Kim Martin               | 029-97-8876    | Social Engineering| $82,781   | kim.martin@cyberhire.com
H0049       | Michele Blair            | 692-94-0770    | Offensive Operations| $117,898  | michele.blair@phishersparadise.io
H0050       | Sierra Ward              | 511-36-1876    | Reconnaissance    | $88,958   | sierra.ward@exploitops.net
H0051       | Madeline Avery           | 744-47-7926    | Social Engineering| $83,505   | madeline.avery@hackteam.org
H0052       | Sarah Sanchez            | 665-62-4038    | Offensive Operations| $80,371   | sarah.sanchez@hackteam.org
H0053       | Jared Cruz               | 774-50-4994    | Social Engineering| $97,732   | jared.cruz@exploitops.net
H0054       | Alyssa Wilson            | 622-46-1763    | Social Engineering| $199,562  | alyssa.wilson@hackteam.org
